[[28, 48.25, 0, nan], [((3, 5), 4.71238898038469), [0, 0, 100], 60]]
[[89, 25.04494382022472, 0, nan], [((3, 5), 5.497787143782138), [0, 0, 100], 60]]
[[21, 46.523809523809526, 0, nan], [((4, 4), 0.0), [0, 0, 100], 60]]
[[94, 18.329787234042552, 0, nan], [((4, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[31, 46.096774193548384, 0, nan], [((4, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[89, 27.168539325842698, 0, nan], [((4, 4), 2.356194490192345), [0, 0, 100], 60]]
[[31, 46.387096774193552, 0, nan], [((4, 4), 3.141592653589793), [0, 0, 100], 60]]
[[88, 24.477272727272727, 0, nan], [((4, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[32, 47.15625, 0, nan], [((4, 4), 4.71238898038469), [0, 0, 100], 60]]
[[91, 24.318681318681318, 0, nan], [((4, 4), 5.497787143782138), [0, 0, 100], 60]]
[[28, 46.035714285714285, 0, nan], [((4, 5), 0.0), [0, 0, 100], 60]]
[[91, 18.164835164835164, 0, nan], [((4, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[24, 45.916666666666664, 0, nan], [((4, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[91, 24.87912087912088, 0, nan], [((4, 5), 2.356194490192345), [0, 0, 100], 60]]
[[33, 46.969696969696969, 0, nan], [((4, 5), 3.141592653589793), [0, 0, 100], 60]]
[[84, 24.964285714285715, 0, nan], [((4, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[33, 47.757575757575758, 0, nan], [((4, 5), 4.71238898038469), [0, 0, 100], 60]]
[[84, 23.452380952380953, 0, nan], [((4, 5), 5.497787143782138), [0, 0, 100], 60]]
[[24, 45.166666666666664, 0, nan], [((5, 5), 0.0), [0, 0, 100], 60]]
[[97, 18.47422680412371, 0, nan], [((5, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[33, 44.636363636363633, 0, nan], [((5, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[88, 22.681818181818183, 0, nan], [((5, 5), 2.356194490192345), [0, 0, 100], 60]]
[[33, 48.393939393939391, 0, nan], [((5, 5), 3.141592653589793), [0, 0, 100], 60]]
[[86, 25.348837209302324, 0, nan], [((5, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[29, 45.344827586206897, 0, nan], [((5, 5), 4.71238898038469), [0, 0, 100], 60]]
[[89, 25.921348314606742, 0, nan], [((5, 5), 5.497787143782138), [0, 0, 100], 60]]
