AgentID	Genome	motor_NN_on	learning_on
Mouse_241	[ 0.39  0.26  0.88  0.85  0.08]	True	True
Mouse_242	[ 0.1   0.18  0.34  0.97  0.34]	True	True
Mouse_243	[ 0.27  0.84  0.96  0.17  0.08]	True	True
Mouse_244	[ 1.    0.33  0.41  0.03  0.12]	True	True
Mouse_245	[ 0.95  0.2   0.04  0.75  0.26]	True	True
Mouse_246	[ 0.42  0.69  0.57  0.45  0.9 ]	True	True
Mouse_247	[ 0.47  0.58  0.63  0.4   0.77]	True	True
Mouse_248	[ 0.77  0.01  0.11  0.49  0.47]	True	True
Mouse_249	[ 0.1   0.27  0.82  0.84  0.2 ]	True	True
Mouse_25	[ 0.97  0.88  0.64  0.19  0.89]	False	False
Mouse_250	[ 0.93  0.17  0.27  0.9   0.04]	True	True
Mouse_251	[ 0.32  0.63  0.27  0.33  0.89]	True	True
Mouse_252	[ 0.53  0.61  0.52  0.3   0.88]	True	True
Mouse_253	[ 0.89  0.36  0.76  0.28  0.28]	True	True
Mouse_254	[ 0.38  0.84  0.93  0.32  0.07]	True	True
Mouse_255	[ 0.76  0.04  1.    0.99  0.31]	True	True
Mouse_256	[ 0.6   0.66  0.15  0.77  0.67]	True	True
Mouse_257	[ 0.84  0.16  0.83  0.55  0.68]	True	True
Mouse_258	[ 0.8   0.64  0.02  0.88  0.2 ]	True	True
Mouse_259	[ 0.05  0.27  0.85  0.3   0.94]	True	True
Mouse_26	[ 0.28  0.48  0.12  0.6   0.63]	False	False
Mouse_260	[ 0.5   0.16  0.92  0.63  0.2 ]	True	True
Mouse_261	[ 0.79  0.69  0.86  0.43  0.19]	True	True
Mouse_262	[ 0.92  0.73  0.16  0.78  0.75]	True	True
Mouse_263	[ 0.33  0.6   0.57  0.1   0.78]	True	True
Mouse_264	[ 0.48  0.57  0.58  0.09  0.61]	True	True
Mouse_265	[ 0.43  0.31  0.23  0.25  0.08]	True	True
Mouse_266	[ 0.45  0.64  0.14  0.9   0.15]	True	True
Mouse_267	[ 0.64  0.67  0.23  0.31  0.46]	True	True
Mouse_268	[ 0.76  0.61  0.35  0.23  0.55]	True	True
Mouse_269	[ 0.76  0.63  0.62  0.05  0.18]	True	True
Mouse_27	[ 0.47  0.92  0.85  0.28  0.03]	False	False
Mouse_270	[ 0.31  0.98  0.72  0.17  0.66]	True	True
Mouse_271	[ 0.07  0.71  0.58  0.8   0.61]	True	True
Mouse_272	[ 0.48  0.9   0.17  0.14  0.64]	True	True
Mouse_273	[ 0.57  0.37  0.91  1.    0.41]	True	True
Mouse_274	[ 0.59  0.17  0.04  0.65  0.16]	True	True
Mouse_275	[ 0.29  0.72  0.97  0.65  0.86]	True	True
Mouse_276	[ 0.79  0.38  0.04  1.    0.28]	True	True
Mouse_277	[ 0.48  0.31  0.63  0.88  0.48]	True	True
Mouse_278	[ 0.68  0.95  0.82  0.74  0.46]	True	True
Mouse_279	[ 0.04  0.36  0.78  0.51  0.82]	True	True
Mouse_28	[ 0.4   0.47  0.9   0.31  0.33]	False	False
Mouse_280	[ 0.89  0.79  0.69  0.7   0.03]	True	True
Mouse_281	[ 0.46  0.23  0.07  0.    0.46]	True	True
Mouse_282	[ 0.5   0.47  0.73  0.17  0.68]	True	True
Mouse_283	[ 0.86  0.39  0.99  0.38  0.07]	True	True
Mouse_284	[ 0.36  0.5   0.22  0.07  0.73]	True	True
Mouse_285	[ 0.28  0.18  0.65  0.86  0.19]	True	True
Mouse_286	[ 0.97  0.39  0.05  0.47  0.11]	True	True
Mouse_287	[ 0.    0.14  0.16  0.53  0.79]	True	True
Mouse_288	[ 0.03  0.86  0.96  0.    0.57]	True	True
Mouse_289	[ 0.1   0.37  0.56  0.82  0.87]	True	True
Mouse_29	[ 0.92  0.64  0.46  0.32  0.35]	False	False
Mouse_290	[ 0.08  0.01  0.79  0.82  0.52]	True	True
Mouse_291	[ 0.4   0.63  0.97  0.97  0.5 ]	True	True
Mouse_292	[ 0.08  0.63  0.98  0.69  0.45]	True	True
Mouse_293	[ 0.38  0.07  0.51  0.03  0.06]	True	True
Mouse_294	[ 0.9   0.88  0.29  0.6   0.81]	True	True
Mouse_295	[ 0.2   0.62  0.15  0.52  0.68]	True	True
Mouse_296	[ 0.8   0.34  0.73  0.31  0.38]	True	True
Mouse_297	[ 1.    0.54  0.18  0.    0.22]	True	True
Mouse_298	[ 0.5   0.33  0.89  0.83  0.79]	True	True
Mouse_299	[ 0.21  0.34  0.53  0.14  0.73]	True	True
Mouse_3	[ 0.05  0.54  0.62  0.29  0.89]	False	False
Mouse_30	[ 0.78  0.84  0.57  0.27  0.65]	False	False
Mouse_300	[ 0.86  0.61  0.87  0.68  0.86]	True	True
Mouse_301	[ 0.85  0.15  0.2   0.52  0.3 ]	True	True
Mouse_302	[ 0.1   0.57  0.98  0.55  0.02]	True	True
Mouse_303	[ 0.78  0.39  0.83  0.51  0.41]	True	True
Mouse_304	[ 0.92  0.67  0.52  0.12  0.76]	True	True
Mouse_305	[ 0.93  0.2   0.3   0.44  0.66]	True	True
Mouse_306	[ 0.66  0.67  0.89  0.06  0.46]	True	True
Mouse_307	[ 0.9   0.85  0.79  0.17  0.23]	True	True
Mouse_308	[ 0.16  0.55  0.95  0.68  0.23]	True	True
Mouse_309	[ 0.18  0.93  0.67  0.36  0.28]	True	True
Mouse_31	[ 0.65  0.11  0.34  0.13  0.98]	False	False
Mouse_310	[ 0.38  0.38  0.53  0.77  0.13]	True	True
Mouse_311	[ 0.16  0.39  0.76  0.38  0.34]	True	True
Mouse_312	[ 0.74  0.59  0.51  0.06  0.11]	True	True
Mouse_313	[ 0.93  0.73  0.72  0.58  0.36]	True	True
Mouse_314	[ 0.67  0.27  0.66  0.14  0.08]	True	True
Mouse_315	[ 0.4   0.38  0.    0.56  0.68]	True	True
Mouse_316	[ 0.54  0.3   0.99  0.58  0.42]	True	True
Mouse_317	[ 1.    0.68  0.87  0.81  0.89]	True	True
